method,seed,task_id,episode,step,subgoal_x,subgoal_y,is_direct_goal,planned_waypoints,lookahead_x,lookahead_y,dist_to_lookahead,attention_targets,attention_weights,stuck_count
Single-Intention Baseline,1,1,0,0,,,False,[],,,,,,
Single-Intention Baseline,1,1,0,1,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,2,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,3,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,4,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,5,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,6,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,7,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,8,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,9,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,10,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,11,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,12,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,13,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,14,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,15,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,16,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,17,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,18,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,19,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,20,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,21,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,22,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,23,0.5115891098976135,-0.4900732040405273,False,[],,,,,,
Single-Intention Baseline,1,1,0,24,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,25,0.5115891098976135,-0.4900732040405273,False,[],,,,,,
Single-Intention Baseline,1,1,0,26,0.5115891098976135,-0.4900732040405273,False,[],,,,,,
Single-Intention Baseline,1,1,0,27,0.5115891098976135,-0.4900732040405273,False,[],,,,,,
Single-Intention Baseline,1,1,0,28,0.5115891098976135,-0.4900732040405273,False,[],,,,,,
Single-Intention Baseline,1,1,0,29,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,30,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,31,-0.7355813980102539,1.8795366287231443,False,[],,,,,,
Single-Intention Baseline,1,1,0,32,0.5115891098976135,-0.4900732040405273,False,[],,,,,,
