method,seed,task_id,episode,step,x,y,reward,done,z,vx,vy,speed,action_norm,action_torques,latency_ms
Single-Intention Baseline,1,1,0,0,0.886654889705156,-0.1602001672180948,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,1,0.8949723159280976,-0.1712517272356834,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,2,0.893702422071475,-0.1967282521134122,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,3,0.8394720081212089,-0.2547554463957257,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,4,0.7921199589861739,-0.2795996152765624,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,5,0.7710127541773066,-0.2009198127820338,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,6,0.7580393750664953,-0.0889740733663697,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,7,0.7535817457534993,0.0030788244015898,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,8,0.7475196811848169,0.0893029745870718,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,9,0.7998787731566259,0.1026774157903971,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,10,0.8015020614021631,0.0452317792701238,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,11,0.7771191969386176,0.0203496143751137,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,12,0.7524005528967115,0.0267903041209202,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,13,0.7204485785709982,0.1678441072763335,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,14,0.694137437824548,0.3231752171863978,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,15,0.6577954013117792,0.4554509337143069,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,16,0.5976205843961112,0.5585537167051643,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,17,0.5060687781678394,0.6286628037768728,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,18,0.3081602265766819,0.6621930920529756,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,19,0.1128566109408206,0.7230780401297907,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,20,-0.0683555015653343,0.7900857232302787,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,21,-0.2090214659386628,0.860528423650081,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,22,-0.1939155755352509,0.889846405164151,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,23,-0.1506819951658007,0.8461502381756565,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,24,-0.1454993398481557,0.7888426457985928,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,25,-0.2040776780481767,0.703141950211934,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,26,-0.3127792472536409,0.5797238434363292,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,27,-0.4116058984351678,0.4440660651218488,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,28,-0.4617446774231807,0.3160349849490496,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,29,-0.478882561774117,0.1906823302254757,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,30,-0.3796320624993761,0.0808642987097041,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,31,-0.1701310621995524,-0.0159449229631572,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,32,0.0093805001251009,-0.1085384209553864,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,33,0.168224207320193,-0.2120621978833711,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,34,0.1592832748293387,-0.2835373171274168,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,35,0.0916037854966574,-0.3342419929436385,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,36,0.0429763495202913,-0.3379080671808201,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,37,0.0646297907760693,-0.2696492280432819,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,38,0.1203790323889217,-0.1668724089252355,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,39,0.1636184304466168,-0.0413770648595121,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,40,0.1374618119450859,0.1303564938634748,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,41,0.0998755336908487,0.2768337738335671,0.0,False,,,,,,,
Single-Intention Baseline,1,1,0,42,0.0429674158124245,0.3807065541456453,0.0,False,,,,,,,
