method,seed,success_rate,mean_length,latency_ms
Single-Intention Baseline,0,92.0,492.35999999999996,32.549590650244596
Single-Intention Baseline,1,84.00000000000001,523.8799999999999,32.60397467746361
Single-Intention Baseline,3,68.0,570.2,32.77430792882941
Single-Intention Baseline,2,64.0,635.04,32.33756907916602
Single-Intention Baseline,4,76.0,510.52,28.09895422491069
Buffer Graph Dijkstra (Branch 2),1,83.99999999999999,528.48,79.77308272367819
Buffer Graph Dijkstra (Branch 2),2,72.0,608.9200000000001,88.95634657672551
Buffer Graph Dijkstra (Branch 2),0,55.99999999999999,689.8,87.61857406254919
Buffer Graph Dijkstra (Branch 2),3,87.99999999999999,572.5200000000001,98.20536607565347
Buffer Graph Dijkstra (Branch 2),4,68.0,615.76,79.7215240260375
